year,urbanization,sex,age_group,x,nDx,nEx
2018,NonCore (Nonmetro),Female,15-19,15,230,546876
2018,NonCore (Nonmetro),Female,20-24,20,356,484176
2018,NonCore (Nonmetro),Female,25-29,25,459,515036
2018,NonCore (Nonmetro),Female,30-34,30,678,488180
2018,NonCore (Nonmetro),Female,35-39,35,912,517608
2018,NonCore (Nonmetro),Female,40-44,40,1171,497426
2018,NonCore (Nonmetro),Female,45-49,45,1863,547466
2018,NonCore (Nonmetro),Female,50-54,50,3176,599135
2018,NonCore (Nonmetro),Female,55-59,55,5122,701348
2018,NonCore (Nonmetro),Female,60-64,60,6854,708510
2018,NonCore (Nonmetro),Female,65-69,65,8652,631149
2018,NonCore (Nonmetro),Female,70-74,70,11046,517060
2018,NonCore (Nonmetro),Female,75-79,75,12865,384193
